firstName,middleName,lastName,suffix,aliasFirstName,aliasMiddleName,aliasLastName,aliasSuffix,dob,pobCountry,pobState,pobCity,pobCounty,sex,race,ssn,hairColor,eyeColor,height,weight,street1,street2,city,state,postalCode,country,homeTelephone,businessTelephone,mobileTelephone,pagerTelephone,faxTelephone,email,citizenship,naturalizationDate,passportCountry,passportNumber,passportType,visaNumber,visaType,visaClassOfAdmissionClassificationCode,birthAbroadCertificationId,certificateOfCitizenshipNumber,alienNumber,i94ArrivalDepartureFormNumber,certificateOfNaturalizationNumber,ds1350CertificationOfBirthAbroad,citizenshipCertificateId,admissionId,employerName,employerStreet1,employerStreet2,employerCity,employerState,employerPostalCode,employerCountry,employerEmail,employerTelephone,employerPOC,caseProgram,caseSubprogram,airportCode,fingerprintFileName,fingerprintCaseNumber,badgeId,badgeIssueDate,badgeExpirationDate,badgeAirportCode,badgeLocalType,badgeArea,badgeAccessSIDA,badgeAccessSterileArea,badgeAccessAOA,badgeAccessSecured,badgeAccessPublicArea,badgeAccessRT,badgeStatus,badgeChangeReason 
TERINA,CAROLANN,SLOCUMB,VI,KYONG,,NEWAND,IV,06/22/1904,ARG,,,,F,A,283033058,BRO,BLU,96,32,9288 DIFRANK HIGHWAY,OFFICE 106,Oak Lawn,NH,45027,HTI,677-239-8372,604-845-5804,230-755-9829,6233655341,385-535-6838,TERINA.SLOCUMB1904@RQDC.ORG,USA,10/26/1911,USA,3086899041,P,,,5GW1YQL83N,,,,,,,,,Celgene,8010 PARKVIEW,SUITE # 31,Mentor,AZ,41001-7173,PRY,MICHAL OLIVIERI@Celgene.NET,724-508-5734,MICHAL OLIVIERI,GA,PCS-FP,MFE,,,,,,,,,,,,,,,,
HANA,,SALIBA,,LEANA,WAN,BAKA,,10/26/1920,USA,WI,Norwalk,Coon Rapids county,F,U,440393741,SDY,XXX,28,149,8232 ROBINSON RD,SUITE 317,Alamogordo,NE,23884,ATA,824-904-2006,542-565-7196,9463946604,(294)6275624,881-230-9264,HANA.SALIBA1920@GODP.EDU,USA,07/27/1968,USA,9661545455,P,,,XBOQPZ05YR,,,,,,,,,Essilor International,3207 STRALOCH BLVD,,Springfield,PA,40347-5095,MLT,ELROY PARKERSON@Essilor International.COM,7798974932,ELROY PARKERSON,ACP,FPO,KNK,HANA_SALIBA_MX2PAB.eft,,FM0VI,10/26/2007,10/26/2008,DFX,Blue,Concourse B,True,False,True,True,True,True,P,
WALDO,TRACY,SHUMSKY,,IRVING,,PARVIAINEN,,04/22/1977,USA,AL,Burlington,,M,A,289181628,RED,XXX,60,146,2638 SOUTHERN,APT 213,Hoboken,AZ,54369,SDN,9425090121,(588)4385732,3718695331,(413)2053293,(313)6763755,WALDO.SHUMSKY1977@UEMM.GOV,USA,,ALA,4024001397,P,NDH48D5,R-2,CWP230KSFC,7NYC5064R4,05U7TU80,,,46OTWMMP6,0GY872,C3I19QEHHJ,R8ZL7022,Fresenius Medical Care,2136 NORMANDY ST,,Compton,NJ,80232,ARG,DONTE PAVAN@Fresenius Medical Care.COM,3472851157,DONTE PAVAN,ACP,FPO,YBE,WALDO_SHUMSKY_896AAO.eft,,32JTZ,10/26/2010,10/26/2011,OEL,Black,Concourse B,True,False,True,False,False,True,S,Employer Direction
HUBERT,,LOOK,,JAMIE,,BRANSTAD,,05/26/1947,USA,NE,Hartford,Wilmette county,U,I,515851856,BRO,BLU,101,1018,1394 SIERRA,OFFICE 46,Novato,HI,71834-7176,TUR,(303)8678960,(281)5633210,(575)8834710,7904152321,(428)8023459,HUBERT.LOOK1947@IPOS.COM,USA,,HTI,6784929977,D,R7OBPQC,IB-3,X557CVGH5I,JU2MVE7GPS,1RG73J29,,,QSNH4QBU9,P97M87,5P676OZ19Q,F4C1YRSE,Garuda Indonesia,4796 CHURCHWOOD WAY,,Cookeville,MT,22482,ROU,NORBERT FARZAN@Garuda Indonesia.EDU,8727995557,NORBERT FARZAN,GA,DCM-PFP,BWG,,FAKE379439,,,,,,,,,,,,,,
RANDY,KENNY,ABOYTES,VIII,HARRISON,ERICH,GEIGLE,,06/23/1993,BGR,,,,M,A,384921259,ONG,GRN,79,1064,1190 EL AZUL,,Goleta,AK,29278,KWT,(982)8636078,(835)3796415,(706)8860947,4034957284,986-791-2664,RANDY.ABOYTES@ZTWU.CO.UK,USA,03/25/2001,IND,3025967578,M,LJDXTK7,F24,8CE2TOF3XJ,ZXNKAYC7PS,YGPH3100,,,208VGHA69,2QUIAT,Q6IJ9Q4FBL,R4Z9U0WZ,British European,1570 PEACEFUL VALLEY HIGHWAY,APT # 322,Portsmouth,UT,70362-9860,TLS,TYREE SHON@British European.CO.UK,6496871879,TYREE SHON,ACP,FPO,CAK,RANDY_ABOYTES_2I86S2.eft,,TN5MC,08/21/2008,08/21/2009,RZK,Security,Food Court,True,False,False,False,True,False,P,
TRISTAN,,SASKA,,NORENE,,CASH,I,07/21/1988,USA,CO,Lorain,Yuba county,F,B,567210311,PLE,HAZ,100,1341,7220 ORCHARD ORIOLE HWY,SUITE 463,Paramount,IL,42611,SLB,892-259-8169,6293257589,(267)5407306,9967185180,720-971-9495,TRISTAN.SASKA@IJZB.NET,USA,,USA,3850061516,P,,,WBE94WXB0L,,,,,,,,,Altera,8221 BONNIEBLUE WAY,ROOM 147,Wyandotte,CO,36874-8783,MSR,MARVIN LOTHER@Altera.NET,4468988748,MARVIN LOTHER,ACP,FPO,YCM,TRISTAN_SASKA_1ZKTJH.eft,,3F11N,03/26/2010,03/26/2011,SWJ,Red,Terminal 2,False,False,True,False,False,False,R,Returned
FREDERICK,ISAIAH,EINCK,,RAUL,LUKE,GEIBEL,,03/25/1903,USA,ME,Pomona,,M,B,385770535,BLK,PNK,101,775,6076 WESTMINSTER BOULEVARD,APARTMENT # 166,Menomonee Falls,MD,24899-5859,AFG,9232686022,(449)9436267,763-603-3835,858-451-8205,437-992-6988,FREDERICK.EINCK@BYEM.EDU,USA,,USA,7549839028,P,,,M7QHFHN8IQ,,,,,,,,,ABB,5653 O HWY,APT # 345,Green Bay,GA,65258-6632,SAU,JESUS AFFLICK@ABB.EDU,8232451456,JESUS AFFLICK,AW,FPO,LEB,FREDERICK_EINCK_528CJD.eft,,LRIZQ,05/27/2005,05/27/2006,LEA,Contractor,Baggage Handling,True,True,False,False,False,True,NI,Hiring Decision
TAMBRA,,SHAMI,,TERESE,JAMEY,DAVOS,III,07/23/1947,USA,CT,Sioux,,F,B,445868632,RED,BLU,67,321,9364 HIGH ST,,Socorro,LA,92567-2514,REU,972-471-6319,(518)3200680,(932)7676743,645-609-5102,8345992645,TAMBRA.SHAMI@MYEX.COM,USA,,STP,7640254525,D,SDZZ45Z,E14,HHAJA2AEGA,U9KC5IZWJN,ZPRGPU28,,,P2OPMUUFW,PAPSHG,IY83J32AF4,6RCELM2Y,Intuitive Surgical,2382 SNOWPINE BLVD,,Gardena,ID,62317,LBY,GILBERTO MEIL@Intuitive Surgical.CO.UK,5714067075,GILBERTO MEIL,AW,FPO,XLJ,TAMBRA_SHAMI_QVT3XS.eft,,RIOUS,04/22/2002,04/22/2003,EBP,Security,Food Court,True,True,False,True,False,True,R,Lost
BRUCE,LARRY,MANFRA,,ERASMO,SANG,BUELER,,10/27/1910,USA,AZ,Bryan,Oak Ridge county,U,I,302370853,ONG,BRO,45,376,8868 CATHER,OFFICE # 310,Chester,NH,85018-5420,KHM,(967)9063153,(561)3980696,(808)4272223,822-729-7876,259-235-4587,BRUCE.MANFRA@RPSF.ORG,USA,,DJI,7914327017,M,P6D3DGS,K-2,OSZCCZGLOT,Q7IKQFFH83,58WOIJ2Z,,,4HPLQ19DG,RF0K9R,PM2VOUHLNH,95YW30B5,Garuda Indonesia,383 CHADDS FORD RD,APARTMENT # 257,Cupertino,KY,31186,GHA,LARRY POOLHECO@Garuda Indonesia.NET,(764)5043751,LARRY POOLHECO,ACP,FPO,YHZ,BRUCE_MANFRA_ZAPO7O.eft,,,,,,,,,,,,,,,
LIONEL,ALFONZO,SHOPE,,LESTER,ROSARIO,PANFILOV,,07/24/1969,CYM,,,,U,A,274679155,XXX,BLK,85,195,3891 BANDON DUNES HWY,,Niles,MO,68261,BHR,4703626511,(978)6487949,(949)3212402,(461)7922840,(268)3592105,LIONEL.SHOPE1969@UHWL.CO.UK,USA,,USA,2867066096,P,CAEVYKV,AM-2,X8CLBYM2KP,TMF43KJ63P,0WNV4XLA,,,Z5KLSFSWW,D5TITO,54CN1TT91I,LXKQ5GT2,ICL-Israel Chemicals,4295 WHITE FEATHER RD,ROOM 171,Richmond,ME,90254-7162,COG,HUNG GILCHER@ICL-Israel Chemicals.COM,(371)5980272,HUNG GILCHER,AW,FPO,PFN,LIONEL_SHOPE_TR4PSD.eft,,T6P9J,04/22/2004,04/22/2005,QWU,Contractor,Tarmac,True,True,True,True,True,True,NI,Hiring Decision
